id,PS_1
1,107
2,106
3,106.7727273
4,102.3
5,102.3333333
6,102.9473684
7,103.0714286
8,98.18181818
9,99.22222222
10,100.35
11,100.5
12,101.2222222
13,98.57142857
14,99.36842105
15,101.1111111
16,102.1818182
17,102.0869565
18,101.44
19,100.5
20,100.125
21,90.72727273
22,92.66666667
23,93.0625
24,92.11111111
25,94.57142857
26,95.625
27,94.85714286
28,95
29,90
30,96.125
31,93.22222222
32,92.83333333
33,92.19047619
34,91.23684211
35,90.93333333
36,91.4
37,122
38,122.125
39,91.13333333
40,89.76470588
41,90.72727273
42,90.40740741
43,87.57894737
44,88.6
45,88.36363636
46,87.33333333
47,87.81481481
48,89.25
49,88.04
50,89.06060606
51,89.72727273
52,86.4
53,83.78571429
54,84.42307692
55,84.55555556
56,89.22222222
57,89
58,88.85714286
59,88.33333333
60,82.90909091
61,81.85714286
62,82
63,83.25
64,84
65,83.5625
66,82.88888889
67,83
68,81.8
69,84.69230769
70,84.87179487
71,84.84615385
72,85.76666667
73,84.5625
74,85.19354839
75,85.23076923
76,84.1
77,86.13513514
78,83
79,84.09090909
80,86.96551724
81,86.67647059
82,80.82608696
83,80.61538462
84,81.45454545
85,80.14285714
86,85.5
87,79.57142857
88,85.09090909
89,83
90,84.18181818
91,82.86666667
92,121
93,120.9
94,82.36842105
95,84.27777778
96,79.15384615
97,78.75
98,79.59459459
99,80.41666667
100,19.3
101,20.14814815
102,19.58695652
103,15.84848485
104,16.15384615
105,15.48
106,15.54545455
107,15.17241379
108,18.25
109,17.1875
110,16.92857143
111,16.88888889
112,14.83333333
113,15
114,14.77777778
115,15.04
116,15.52631579
117,15.31818182
118,14.80645161
119,15.06666667
120,14.8
121,14.25
122,14.7
123,15.09677419
124,15.5625
125,15.81818182
126,16.27027027
127,15.7826087
128,15.5
129,21.51851852
130,21.94117647
131,23.2
132,23.71428571
133,23.20512821
134,22.78181818
135,22.45
136,23.03703704
137,21.575
138,22.04545455
139,22.32
140,21.87272727
141,21.76
142,22.1
143,21
144,20.65909091
145,21.18181818
146,20.44736842
147,21.03125
148,21.42553191
149,18.6
150,18.22222222
151,19.09302326
152,18.76923077
153,18.46153846
154,19.21621622
155,18
156,20.11363636
157,20.625
158,19.5
159,19.97727273
160,20.36111111
161,20.18518519
162,19.81818182
163,21.2
164,21.47727273
165,21.9
166,21.04545455
167,20.86363636
168,21.31818182
169,21.75
170,19.43636364
171,19.86
172,18.96
173,19.7
174,19.25
175,18.34090909
176,18.825
177,21.16
178,20.74545455
179,20.1
180,20.47727273
181,20.95
182,20.7
183,20.32727273
184,24.175
185,23.72727273
186,23.56818182
187,24.02631579
188,23.09090909
189,23.76923077
190,23.45454545
191,22.58181818
192,22.40909091
193,22.85
194,22.20454545
195,22.65
196,22.475
197,22.97727273
198,25.23529412
199,25.04
200,24.63636364
201,24.38888889
202,24.30909091
203,23.70454545
204,24.11363636
205,24.5
206,23.98181818
207,24.42
208,23.29545455
209,25.60869565
210,25.25925926
211,25.45454545
212,24.97674419
213,24.81481481
214,23.42
215,22.77272727
216,23.175
217,22.3
218,22.16
219,23.06
220,23.47272727
221,25.13636364
222,24.67272727
223,25.35714286
224,24.95
225,24.5
226,23.83636364
